X,Y
7.001893,7.334022
2.2536795,-4.626097
6.053362,8.668664
11.189591,8.558436
0.6350639,-6.256469
10.445517,4.085548
8.611201,3.8897047
17.360716,7.5158324
6.0606627,-1.4237959
0.6795818,-5.225025
9.933823,3.9768755
3.0037358,9.351404
4.4222417,9.371669
5.106843,-1.448739
8.704625,7.4343925
10.906432,5.821116
-6.4945335,11.578067
10.02887,6.235722
4.2389064,-5.0206194
11.908705,6.6936626
-0.6568486,5.441183
1.6262167,-6.1494765
-3.9050295,10.346633
2.64388,-2.507654
4.8789864,-3.4523149
5.420432,-2.3406944
6.43011,3.865588
4.496306,-5.0779834
1.2037475,-3.4396741
-1.1561118,5.830624
16.961266,7.1555853
11.224566,4.174465
10.814252,5.0988092
0.93431956,10.528382
12.158029,9.048908
-2.5901983,13.214826
2.283978,7.4814353
1.8656853,-3.1746786
3.1776416,-3.649123
-5.3968487,6.7284493
10.560496,4.446101
-1.7018498,6.988123
1.9338372,-2.6500454
0.48927277,5.8449135
-4.242289,8.932945
11.212856,6.152147
1.1310643,8.304335
0.561994,9.038833
8.021583,8.776783
-3.924365,9.682593
7.4248843,8.425794
2.579907,7.732275
-6.1141477,11.90223
4.6680355,-1.5199373
9.30083,5.3863306
2.54504,-7.2185225
4.515723,-5.7252917
18.311384,8.3493595
12.784016,6.535134
